time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-03-31T19:49:49.010Z,1.6842,128.4165,68.48,5,mb,,83,1.386,0.78,us,us1000dbxw,2018-03-31T20:06:24.040Z,"45km E of Tobelo, Indonesia",earthquake,8.2,7.9,0.073,60,reviewed,us,us
2018-03-31T19:35:50.700Z,36.6257,70.8881,216.97,4.2,mb,,70,0.558,0.49,us,us1000dbxs,2018-04-01T03:43:46.040Z,"26km S of Jarm, Afghanistan",earthquake,6.9,4.8,0.08,44,reviewed,us,us
2018-03-31T18:13:38.290Z,35.4012,-98.0814,5,2.5,mb_lg,,48,0.183,0.44,us,us1000dbx3,2018-04-01T13:29:28.040Z,"12km W of Union City, Oklahoma",earthquake,1.9,2,0.085,36,reviewed,us,us
2018-03-31T17:57:32.480Z,18.0783,-67.691,145,3.1,md,5,334,0.5858,0.05,pr,pr2018090011,2018-04-01T13:13:15.040Z,"49km W of Puerto Real, Puerto Rico",earthquake,2.67,0.68,0.27,5,reviewed,pr,pr
2018-03-31T17:02:30.751Z,56.5818,-149.4151,27.5,3.5,ml,,,,0.52,ak,ak18869452,2018-03-31T17:08:44.941Z,"225km SE of Kodiak, Alaska",earthquake,,4.1,,,automatic,ak,ak
2018-03-31T16:12:20.520Z,4.9415,-82.4506,10,4.9,mb,,88,3.553,1.23,us,us1000dbw6,2018-04-02T00:14:07.011Z,South of Panama,earthquake,6,1.7,0.112,25,reviewed,us,us
2018-03-31T15:35:22.220Z,18.8043,-68.812,105,3.38,md,5,184,0.5194,0.02,pr,pr2018090010,2018-03-31T19:38:26.172Z,"23km NNW of Salvaleon de Higuey, Dominican Republic",earthquake,8.46,1.1,0.12,3,reviewed,pr,pr
2018-03-31T15:07:31.240Z,36.8619995,-121.5933304,6.23,2.83,md,51,49,0.02244,0.09,nc,nc72992335,2018-04-01T05:08:40.496Z,"5km WNW of San Juan Bautista, CA",earthquake,0.18,0.33,0.12,68,automatic,nc,nc
2018-03-31T14:33:39.330Z,36.8596667,-121.5915,6.24,3.02,ml,92,35,0.002196,0.1,nc,nc72992330,2018-04-02T21:53:03.772Z,"5km WNW of San Juan Bautista, CA",earthquake,0.11,0.22,0.192,35,reviewed,nc,nc
2018-03-31T11:00:38.360Z,-24.0977,-179.5704,475.7,4.5,mb,,115,5.332,0.74,us,us1000dbuy,2018-03-31T11:17:09.040Z,South of the Fiji Islands,earthquake,16.5,16,0.145,14,reviewed,us,us
2018-03-31T09:57:55.920Z,54.1898,-159.8784,20.85,3.7,mb,,203,0.664,0.99,us,us1000dbuq,2018-03-31T10:15:13.040Z,"69km SSW of Chernabura Island, Alaska",earthquake,7.3,13.8,0.135,14,reviewed,us,us
2018-03-31T09:26:33.690Z,33.0196,90.4046,10,4.2,mb,,95,5.92,0.58,us,us1000dbul,2018-03-31T09:53:37.040Z,"140km WNW of Pagnag, China",earthquake,6.2,1.9,0.096,30,reviewed,us,us
2018-03-31T09:05:53.260Z,37.0586662,-121.4899979,4.3,2.65,md,60,43,0.03352,0.05,nc,nc72992195,2018-03-31T15:45:57.908Z,"9km NE of Gilroy, CA",earthquake,0.13,0.36,0.13,70,automatic,nc,nc
2018-03-31T08:10:52.580Z,-15.1845,-173.4587,10,5.1,mb,,100,2.063,0.66,us,us1000dbu5,2018-03-31T08:27:47.040Z,"90km NNE of Hihifo, Tonga",earthquake,10.9,1.9,0.076,56,reviewed,us,us
